epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,314.57,1.74348,3.20753,2.24879,1.67506,0.2287,0.53876,0.32408,0.19718,0.2287,0.53876,0.31855,0.17537,1.31727,2.89946,2.13605,1.4753,0.00129293,0.00129293,0.00129293
70,319.926,1.9872,3.87131,2.49942,1.83489,0.27673,0.4438,0.34983,0.21271,0.37026,0.40891,0.34888,0.18864,1.28362,2.69598,2.15304,1.445,0.00128742,0.00128742,0.00128742
71,324.188,1.7606,3.62962,2.40304,1.73378,0.27673,0.4438,0.34983,0.21271,0.37026,0.40891,0.34888,0.18864,1.28362,2.69598,2.15304,1.445,0.00128192,0.00128192,0.00128192
72,328.885,1.99867,4.0048,2.4666,1.91873,0.27673,0.4438,0.34983,0.21271,0.37026,0.40891,0.34888,0.18864,1.28362,2.69598,2.15304,1.445,0.00127642,0.00127642,0.00127642
73,333.492,1.85316,3.57328,2.31519,1.67834,0.27673,0.4438,0.34983,0.21271,0.37026,0.40891,0.34888,0.18864,1.28362,2.69598,2.15304,1.445,0.00127092,0.00127092,0.00127092
74,337.851,1.66466,3.14347,2.29874,1.64716,0.32304,0.61531,0.46201,0.26781,0.46935,0.37403,0.41526,0.2379,1.20446,2.53714,2.11248,1.36696,0.00126542,0.00126542,0.00126542
75,342.495,2.0948,4.1157,2.56809,1.96388,0.32304,0.61531,0.46201,0.26781,0.46935,0.37403,0.41526,0.2379,1.20446,2.53714,2.11248,1.36696,0.00125992,0.00125992,0.00125992
76,347.339,2.05859,3.92631,2.49887,1.84454,0.32304,0.61531,0.46201,0.26781,0.46935,0.37403,0.41526,0.2379,1.20446,2.53714,2.11248,1.36696,0.00125442,0.00125442,0.00125442
77,351.87,1.9269,3.48723,2.23168,1.82474,0.32304,0.61531,0.46201,0.26781,0.46935,0.37403,0.41526,0.2379,1.20446,2.53714,2.11248,1.36696,0.00124892,0.00124892,0.00124892
78,356.649,1.92441,3.70031,2.4305,1.78328,0.38426,0.67145,0.47127,0.24924,0.50184,0.39449,0.41597,0.19944,1.3142,2.85775,2.20414,1.46608,0.00124342,0.00124342,0.00124342
79,361.304,1.82151,3.69152,2.39282,1.80443,0.38426,0.67145,0.47127,0.24924,0.50184,0.39449,0.41597,0.19944,1.3142,2.85775,2.20414,1.46608,0.00123791,0.00123791,0.00123791
80,365.654,1.7005,3.00089,2.2226,1.6462,0.38426,0.67145,0.47127,0.24924,0.50184,0.39449,0.41597,0.19944,1.3142,2.85775,2.20414,1.46608,0.00123241,0.00123241,0.00123241
81,370.002,1.57004,2.91262,2.12807,1.57859,0.38426,0.67145,0.47127,0.24924,0.50184,0.39449,0.41597,0.19944,1.3142,2.85775,2.20414,1.46608,0.00122691,0.00122691,0.00122691
82,374.649,1.57042,3.04789,1.99899,1.59165,0.34047,0.61531,0.46685,0.22953,0.4356,0.46884,0.41224,0.20219,1.34351,2.72268,2.37605,1.50335,0.00122141,0.00122141,0.00122141
83,379.237,1.88724,3.93989,2.53832,1.87525,0.34047,0.61531,0.46685,0.22953,0.4356,0.46884,0.41224,0.20219,1.34351,2.72268,2.37605,1.50335,0.00121591,0.00121591,0.00121591
84,383.769,1.78573,3.47121,2.32319,1.76402,0.34047,0.61531,0.46685,0.22953,0.4356,0.46884,0.41224,0.20219,1.34351,2.72268,2.37605,1.50335,0.00121041,0.00121041,0.00121041
85,388.813,1.93968,3.88908,2.41963,1.8316,0.34047,0.61531,0.46685,0.22953,0.4356,0.46884,0.41224,0.20219,1.34351,2.72268,2.37605,1.50335,0.00120491,0.00120491,0.00120491
86,393.482,1.71347,3.51964,2.31253,1.606,0.36382,0.53408,0.41311,0.19966,0.39432,0.46221,0.35473,0.17672,1.36478,2.8124,2.88689,1.5402,0.00119941,0.00119941,0.00119941
87,397.766,1.76157,3.18757,2.69268,1.74279,0.36382,0.53408,0.41311,0.19966,0.39432,0.46221,0.35473,0.17672,1.36478,2.8124,2.88689,1.5402,0.00119391,0.00119391,0.00119391
88,402.532,1.67072,3.34006,2.17929,1.66041,0.36382,0.53408,0.41311,0.19966,0.39432,0.46221,0.35473,0.17672,1.36478,2.8124,2.88689,1.5402,0.0011884,0.0011884,0.0011884
89,407.323,1.83187,3.31061,2.24003,1.63891,0.36382,0.53408,0.41311,0.19966,0.39432,0.46221,0.35473,0.17672,1.36478,2.8124,2.88689,1.5402,0.0011829,0.0011829,0.0011829
90,412.15,1.98031,3.75698,2.44579,1.76431,0.53611,0.42733,0.36811,0.18237,0.39422,0.49404,0.36576,0.1835,1.44947,2.82574,2.86453,1.63479,0.0011774,0.0011774,0.0011774
91,416.715,1.64682,3.15287,2.1493,1.64212,0.53611,0.42733,0.36811,0.18237,0.39422,0.49404,0.36576,0.1835,1.44947,2.82574,2.86453,1.63479,0.0011719,0.0011719,0.0011719
